company,verdict_date,summary,link_article,link_verdict,fine,currency,other_party,topics,country,authority,case
facebook inc,17/02/2021,Facebook Inc. failed to comply with the order requiring to remove the unfair practice on the use of user data and to publish an amending declaration requested by the Authority,https://www.politico.eu/article/italy-fines-facebook-e7m-for-repeated-data-violations/,https://en.agcm.it/en/media/press-releases/2021/2/IP330,7000000,€,,,Italy,Italian Competition Authority (AGCM/ICA),
facebook inc,24/07/2019,the company violated a 2012 FTC order by deceiving users about their ability to control the privacy of their personal information.,https://www.theguardian.com/technology/2019/jul/12/facebook-fine-ftc-privacy-violations,https://www.ftc.gov/news-events/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions,5000000000,$,,,US,Federal Trade Commission (FTC),
facebook inc,29/11/2018,unfair commercial practices for using its subscribers’ data for commercial purposes,https://www.euronews.com/2021/02/17/facebook-fined-7-million-in-italy-for-misleading-data-practices,https://www.agcm.it/media/comunicati-stampa/2018/12/Uso-dei-dati-degli-utenti-a-fini-commerciali-sanzioni-per-10-milioni-di-euro-a-Facebook,10000000,€,,,Italy,Italian Competition Authority (AGCM/ICA),
facebook inc,25/10/2018,Facebook failed to protect users’ personal information,https://www.independent.co.uk/news/uk/home-news/facebook-data-uk-election-brexit-referendum-fake-news-fine-commissioners-office-watchdog-a8441301.html,https://ico.org.uk/facebook-fine-20181025,500000,£,,,UK,Information Commissioner’s Office (ICO),
facebook inc,11/05/2017,WhatsApp fined for having forced its users to share their personal data with Facebook,,https://en.agcm.it/en/media/detail?id=a6c51399-33ee-45c2-9019-8f4a3ae09aa1,3000000,€,,,Italy,Italian Competition Authority (AGCM/ICA),
facebook inc,05/2017,providing misleading information about user accounts before its 2014 takeover of WhatsApp,https://www.theguardian.com/business/2017/may/18/facebook-fined-eu-whatsapp-european-commission,,110000000,€,,,European Union,,
facebook inc,05/2017,failing to prevent users’ data being accessed by advertisers,https://www.reuters.com/article/us-facebook-france-idUSKCN18C10C,,150000,€,,,France,,
Google,06/2017,Google has abused its power by promoting its own shopping comparison service at the top of search results,https://www.bbc.co.uk/news/technology-40406542,,2420000000,€,,,European Union,,
Microsoft,2008,,https://www.bbc.co.uk/news/technology-40406542,,899000000,€,,,European Union,,
Microsoft,2013,,https://www.bbc.co.uk/news/technology-40406542,,561000000,€,,,European Union,,
Google,2012,,https://www.nytimes.com/2019/07/12/technology/facebook-ftc-fine.html,,22000000,$,,,European Union,,
facebook inc,10/08/2012,"Facebook deceived consumers by telling them they could keep their information on Facebook private, and then repeatedly allowing it to be shared and made public.",,https://www.ftc.gov/sites/default/files/documents/cases/2012/08/120810facebookdo.pdf,0,$,,,US,Federal Trade Commission (FTC),
